City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Capinopolis,BR,81.73,light rain,-18.68,-49.57,casa do leo
15,Itarema,BR,79.97,clear sky,-2.92,-39.92,Windvillage
23,Celestun,MX,78.3,few clouds,20.87,-90.4,Posada Lilia
25,Hithadhoo,MV,81.93,clear sky,-0.6,73.08,Scoop Guest House
27,Arraial Do Cabo,BR,80.6,clear sky,-22.97,-42.03,Pousada Porto Praia
41,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
42,Caucaia,BR,82.4,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
43,Hilo,US,78.8,light rain,19.73,-155.09,Hilo Hawaiian Hotel
44,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
47,San Andres,CO,86.0,scattered clouds,12.58,-81.7,Hotel Arena Blanca
48,Rikitea,PF,76.87,few clouds,-23.12,-134.97,Pension Maro'i
50,Butaritari,KI,81.16,scattered clouds,3.07,172.79,Isles Sunset Lodge
60,Karratha,AU,85.73,scattered clouds,-20.74,116.85,ibis Styles Karratha
62,Padang,ID,77.61,overcast clouds,-0.95,100.35,Mercure Padang
64,Brokopondo,SR,78.51,broken clouds,4.75,-55.17,Matu Island
67,Sao Paulo De Olivenca,BR,80.87,overcast clouds,-3.38,-68.87,
71,Atuona,PF,78.78,scattered clouds,-9.8,-139.03,Villa Enata
74,Saint-Philippe,RE,75.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
78,Faanui,PF,80.87,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
85,Lompoc,US,77.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
86,Bairiki,KI,84.2,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
94,Progreso,MX,87.01,scattered clouds,21.28,-89.67,Playa Linda Hotel
98,Balabac,PH,81.19,overcast clouds,7.99,117.06,Sing and Swing Lodge
103,Kapaa,US,80.6,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
106,Esmeraldas,BR,84.2,light rain,-19.76,-44.31,Bom Será - Marcinho e Fernanda
107,Puerto Ayora,EC,78.8,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
108,Rondonopolis,BR,88.16,light rain,-16.47,-54.64,Serras Hotel
111,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
122,Carora,VE,81.25,broken clouds,10.18,-70.08,Hotel Irpinia
125,Sao Miguel Do Guama,BR,77.83,broken clouds,-1.63,-47.48,Hotel Rio Guamá
127,Sinnamary,GF,78.98,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
128,Kinablangan,PH,77.41,moderate rain,7.69,126.55,Danny Moreno Property
132,Palm Springs,US,75.0,clear sky,33.83,-116.55,Colony Palms Hotel
139,Bloemhof,ZA,76.5,broken clouds,-27.65,25.61,Victory Towers
144,Mapastepec,MX,86.54,broken clouds,15.43,-92.9,Hotel San Carlos
146,Mana,GF,78.91,overcast clouds,5.66,-53.78,LE SAMANA
149,San Cristobal,VE,84.2,scattered clouds,7.77,-72.22,Pirineos
152,Quatre Cocos,MU,77.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
157,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
158,Viedma,AR,75.99,clear sky,-40.81,-63.0,Hotel Cristal
160,Cap Malheureux,MU,75.99,clear sky,-19.98,57.61,Pereybere Hotel & Spa
165,Avarua,CK,82.4,overcast clouds,-21.21,-159.78,Paradise Inn
166,Kapoeta,SS,83.23,scattered clouds,4.77,33.59,Eastgate Hotel
167,Majene,ID,77.67,overcast clouds,-3.54,118.97,Kost Putri RABBANI
169,Muisne,EC,80.6,scattered clouds,0.6,-80.03,Quinta Samay
183,Cairns,AU,84.2,scattered clouds,-16.92,145.77,Mantra Trilogy Cairns
184,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
186,Valparaiso,CL,77.0,clear sky,-33.04,-71.63,Hotel Ultramar
192,Samarai,PG,82.89,broken clouds,-10.62,150.67,Nuli Sapi
193,Cabo San Lucas,MX,78.01,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
195,Dzaoudzi,YT,80.6,clear sky,-12.79,45.27,Le Rocher
202,Poum,NC,79.18,scattered clouds,-20.23,164.02,Gîte kajeon
207,Salina Cruz,MX,86.81,overcast clouds,16.17,-95.2,Amerik HOTEL
208,Petit Goave,HT,86.0,light rain,18.43,-72.87,Imperial Suite International
210,Harper,LR,79.0,overcast clouds,4.38,-7.72,Screensaver
211,Paracuru,BR,81.0,clear sky,-3.41,-39.03,Hotel Vento Brasil
215,Harlingen,US,77.0,clear sky,26.19,-97.7,Courtyard by Marriott Harlingen
221,Monrovia,LR,75.2,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
224,Emerald,AU,80.6,broken clouds,-23.53,148.17,The Irish Village
226,Ambon,ID,77.0,clear sky,-3.7,128.18,Swiss-Belhotel Ambon
229,Caravelas,BR,77.97,broken clouds,-17.71,-39.25,Pousada dos Navegantes
237,Dapdap,PH,81.32,overcast clouds,12.06,125.49,Oasis Lodge
238,Itaueira,BR,79.5,scattered clouds,-7.6,-43.03,Hotel Pousada Luz
239,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
242,Kalmunai,LK,76.8,moderate rain,7.42,81.82,VS Villa
243,Tepalcingo,MX,91.0,clear sky,18.6,-98.85,Hotel Girasoles
