City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Airai,TL,-8.93,125.41,62.42,100,100,3.22,light rain
1,Dikson,RU,73.51,80.55,-27.26,84,47,7.2,scattered clouds
2,Punta Arenas,CL,-53.15,-70.92,53.6,62,75,28.86,broken clouds
3,Busselton,AU,-33.65,115.33,51.01,92,0,12.93,clear sky
4,Jiayuguan,CN,39.82,98.3,11.75,61,16,1.72,few clouds
5,Capinopolis,BR,-18.68,-49.57,81.73,59,92,1.81,light rain
6,Thompson,CA,55.74,-97.86,-9.4,69,90,3.36,overcast clouds
7,Jamestown,US,42.1,-79.24,34.0,97,90,6.93,fog
8,Lanzhou,CN,36.06,103.79,18.0,63,0,1.1,clear sky
9,Atar,MR,20.52,-13.05,63.16,30,0,10.4,clear sky
10,Chokurdakh,RU,70.63,147.92,-17.63,89,82,10.4,broken clouds
11,Kwinana,AU,-32.25,115.77,63.0,63,0,11.41,clear sky
12,Mecca,SA,21.43,39.83,73.44,62,0,2.89,clear sky
13,Albany,US,42.6,-73.97,33.01,73,100,7.05,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,50.0,81,40,24.16,shower rain
15,Itarema,BR,-2.92,-39.92,79.97,74,2,16.46,clear sky
16,Vardo,NO,70.37,31.11,32.0,97,90,16.11,light snow
17,Columbus,US,39.96,-83.0,42.8,81,90,8.05,overcast clouds
18,East London,ZA,-33.02,27.91,72.46,86,0,0.27,clear sky
19,Esperance,AU,-33.87,121.9,57.2,93,51,3.36,broken clouds
20,Saint George,US,37.1,-113.58,53.01,29,1,5.82,clear sky
21,College,US,64.86,-147.8,-7.01,76,75,3.36,light snow
22,Minot,US,48.23,-101.3,37.4,86,90,10.29,overcast clouds
23,Celestun,MX,20.87,-90.4,78.3,75,11,8.59,few clouds
24,Kagadi,UG,0.96,30.8,65.8,64,20,2.46,few clouds
25,Hithadhoo,MV,-0.6,73.08,81.93,73,1,7.96,clear sky
26,Bluff,NZ,-46.6,168.33,57.0,81,100,11.99,overcast clouds
27,Arraial Do Cabo,BR,-22.97,-42.03,80.6,83,0,14.99,clear sky
28,Yanam,IN,16.73,82.22,66.27,78,0,3.47,clear sky
29,Hami,CN,42.8,93.45,15.58,90,0,1.77,clear sky
30,Laguna,US,38.42,-121.42,59.0,93,1,3.33,mist
31,Leningradskiy,RU,69.38,178.42,-3.37,91,100,3.98,overcast clouds
32,Talnakh,RU,69.49,88.4,-31.0,73,0,4.47,clear sky
33,Mataura,NZ,-46.19,168.86,57.0,81,100,11.99,overcast clouds
34,Praia Da Vitoria,PT,38.73,-27.07,64.99,100,40,31.7,scattered clouds
35,Sitka,US,57.05,-135.33,37.4,86,90,11.48,light rain
36,Luderitz,NA,-26.65,15.16,66.2,77,69,14.99,broken clouds
37,Mar Del Plata,AR,-38.0,-57.56,57.2,76,75,11.41,broken clouds
38,Gualaquiza,EC,-3.4,-78.55,72.68,77,68,1.95,light rain
39,Hobart,AU,-42.88,147.33,63.0,71,20,8.05,few clouds
40,Zemio,CF,5.03,25.14,70.16,35,7,2.1,clear sky
41,Bambous Virieux,MU,-20.34,57.76,77.0,88,40,3.36,scattered clouds
42,Caucaia,BR,-3.74,-38.65,82.4,74,40,10.29,scattered clouds
43,Hilo,US,19.73,-155.09,78.8,74,75,4.7,light rain
44,Georgetown,MY,5.41,100.34,78.8,88,20,3.36,few clouds
45,Shimoda,JP,34.67,138.95,42.85,70,25,7.14,scattered clouds
46,Nanortalik,GL,60.14,-45.24,25.79,96,100,11.59,snow
47,San Andres,CO,12.58,-81.7,86.0,70,40,10.29,scattered clouds
48,Rikitea,PF,-23.12,-134.97,76.87,76,20,21.9,few clouds
49,Iwanai,JP,42.97,140.51,22.64,93,100,12.44,light snow
50,Butaritari,KI,3.07,172.79,81.16,79,44,16.02,scattered clouds
51,Barrow,US,71.29,-156.79,-20.2,75,1,10.29,clear sky
52,Dungarvan,IE,52.09,-7.63,46.99,93,20,2.24,few clouds
53,Kachug,RU,53.96,105.88,10.65,91,100,0.34,overcast clouds
54,Cape Town,ZA,-33.93,18.42,71.6,56,0,21.92,clear sky
55,Dwarahat,IN,29.78,79.43,42.64,47,58,2.37,broken clouds
56,Izhma,RU,65.01,53.91,1.13,89,0,3.78,clear sky
57,Hermanus,ZA,-34.42,19.23,69.01,80,0,5.01,clear sky
58,Tuktoyaktuk,CA,69.45,-133.04,-40.0,65,20,2.24,few clouds
59,Constitucion,CL,-35.33,-72.42,63.73,58,0,19.1,clear sky
60,Karratha,AU,-20.74,116.85,85.73,52,32,6.85,scattered clouds
61,Upernavik,GL,72.79,-56.15,11.21,84,99,6.17,overcast clouds
62,Padang,ID,-0.95,100.35,77.61,73,100,3.49,overcast clouds
63,Changping,CN,40.22,116.22,28.0,66,0,4.47,clear sky
64,Brokopondo,SR,4.75,-55.17,78.51,85,63,8.3,broken clouds
65,Tibati,CM,6.47,12.63,68.88,28,0,2.28,clear sky
66,Rayachoti,IN,14.05,78.75,62.65,92,25,0.94,scattered clouds
67,Sao Paulo De Olivenca,BR,-3.38,-68.87,80.87,91,100,1.61,overcast clouds
68,Tasiilaq,GL,65.61,-37.64,21.2,67,100,3.36,overcast clouds
69,Lobatse,BW,-25.22,25.67,68.0,82,51,4.7,broken clouds
70,Tuatapere,NZ,-46.13,167.68,57.0,81,100,11.99,moderate rain
71,Atuona,PF,-9.8,-139.03,78.78,76,26,15.88,scattered clouds
72,Sukhobezvodnoye,RU,57.05,44.89,11.61,96,99,8.57,overcast clouds
73,Port Elizabeth,ZA,-33.92,25.57,71.6,88,39,8.05,scattered clouds
74,Saint-Philippe,RE,-21.36,55.77,75.2,78,0,6.93,clear sky
75,Chabahar,IR,25.29,60.64,62.6,82,0,2.24,clear sky
76,Pevek,RU,69.7,170.31,-6.97,90,79,4.47,broken clouds
77,Bethel,US,41.37,-73.41,30.2,92,90,3.36,mist
78,Faanui,PF,-16.48,-151.75,80.87,68,50,5.28,scattered clouds
79,Severo-Kurilsk,RU,50.68,156.12,26.8,93,84,21.0,light snow
80,Dzhebariki-Khaya,RU,62.22,135.8,-42.93,72,2,2.24,clear sky
81,Solnechnyy,RU,50.72,136.63,-5.85,84,0,3.09,clear sky
