City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Victoria,HK,2020-12-08 18:43:56,22.29,114.16,66.99,69,67,7.96
1,Busselton,AU,2020-12-08 18:46:16,-33.65,115.33,62.01,86,5,3.0
2,Albany,US,2020-12-08 18:41:57,42.6,-73.97,28.0,73,90,13.87
3,Mar Del Plata,AR,2020-12-08 18:44:33,-38.0,-57.56,75.0,69,75,16.11
4,Faanui,PF,2020-12-08 18:46:16,-16.48,-151.75,79.84,76,100,19.08
5,Kapaa,US,2020-12-08 18:46:17,22.08,-159.32,78.8,78,75,12.75
6,Ribeira Grande,PT,2020-12-08 18:46:17,38.52,-28.7,62.6,72,40,16.11
7,Abu Samrah,SY,2020-12-08 18:46:17,35.3,37.18,56.48,64,99,3.18
8,Arlit,NE,2020-12-08 18:46:17,18.74,7.39,82.92,15,0,10.29
9,Jamestown,US,2020-12-08 18:42:17,42.1,-79.24,33.01,74,75,21.92
10,Penzance,GB,2020-12-08 18:46:17,50.12,-5.54,44.6,81,20,8.05
11,Mataura,NZ,2020-12-08 18:46:17,-46.19,168.86,54.0,75,86,4.0
12,Asyut,EG,2020-12-08 18:42:04,27.18,31.18,65.25,46,0,8.59
13,Cidreira,BR,2020-12-08 18:46:17,-30.18,-50.21,75.92,69,7,10.74
14,Ushuaia,AR,2020-12-08 18:41:19,-54.8,-68.3,53.6,87,75,5.61
15,Manokwari,ID,2020-12-08 18:46:18,-0.87,134.08,79.81,73,37,5.23
16,Port Alfred,ZA,2020-12-08 18:46:05,-33.59,26.89,70.84,85,100,8.48
17,Punta Arenas,CL,2020-12-08 18:46:18,-53.15,-70.92,50.0,93,90,11.41
18,Rawson,AR,2020-12-08 18:46:18,-43.3,-65.1,77.86,18,67,30.18
19,Castro,BR,2020-12-08 18:46:18,-24.79,-50.01,77.81,57,1,7.74
20,Tuktoyaktuk,CA,2020-12-08 18:46:18,69.45,-133.04,1.4,84,90,10.29
21,Norman Wells,CA,2020-12-08 18:46:18,65.28,-126.83,-14.8,83,75,3.36
22,Torbay,CA,2020-12-08 18:46:18,47.67,-52.73,41.0,80,90,8.05
23,Ponta Do Sol,PT,2020-12-08 18:46:18,32.67,-17.1,64.4,68,40,9.17
24,Tiksi,RU,2020-12-08 18:46:18,71.69,128.87,-20.07,88,99,3.89
25,Atuona,PF,2020-12-08 18:46:19,-9.8,-139.03,78.78,72,0,14.2
26,Puerto Ayora,EC,2020-12-08 18:46:19,-0.74,-90.35,80.6,69,40,20.8
27,Pevek,RU,2020-12-08 18:46:19,69.7,170.31,-1.86,93,96,2.73
28,Cherskiy,RU,2020-12-08 18:46:19,68.75,161.3,-16.96,88,100,7.9
29,Sioux Lookout,CA,2020-12-08 18:46:19,50.1,-91.92,32.0,91,75,6.93
30,New Norfolk,AU,2020-12-08 18:46:19,-42.78,147.06,57.0,68,90,3.0
31,San Patricio,US,2020-12-08 18:46:19,28.02,-97.52,73.4,27,1,3.36
32,Severo-Kurilsk,RU,2020-12-08 18:46:19,50.68,156.12,23.27,88,100,4.27
33,Butaritari,KI,2020-12-08 18:46:19,3.07,172.79,81.23,81,16,8.99
34,Freeport,US,2020-12-08 18:46:20,40.66,-73.58,35.01,55,90,13.87
35,Ornskoldsvik,SE,2020-12-08 18:46:20,63.29,18.72,35.6,100,90,8.05
36,San Andres,CO,2020-12-08 18:45:45,12.58,-81.7,86.0,70,20,10.29
37,Itarema,BR,2020-12-08 18:46:20,-2.92,-39.92,83.91,64,100,19.28
38,Hithadhoo,MV,2020-12-08 18:46:20,-0.6,73.08,81.59,76,100,9.66
39,Carnarvon,AU,2020-12-08 18:46:20,-24.87,113.63,73.4,88,0,13.87
40,Hobart,AU,2020-12-08 18:43:44,-42.88,147.33,59.0,67,40,14.99
41,Tripoli,LY,2020-12-08 18:42:07,32.88,13.19,63.0,46,0,20.78
42,Rikitea,PF,2020-12-08 18:46:20,-23.12,-134.97,77.14,77,0,18.03
43,Shakiso,ET,2020-12-08 18:45:27,5.75,38.92,57.07,77,34,2.33
44,Bluff,NZ,2020-12-08 18:46:21,-46.6,168.33,54.0,75,100,4.0
45,Port Hardy,CA,2020-12-08 18:46:21,50.7,-127.42,44.6,100,75,1.7
46,Cape Town,ZA,2020-12-08 18:45:36,-33.93,18.42,71.01,82,75,8.05
47,Brazzaville,CG,2020-12-08 18:46:21,-4.27,15.28,75.2,83,99,2.24
48,Georgetown,MY,2020-12-08 18:46:07,5.41,100.34,80.6,88,40,3.36
49,Arraial Do Cabo,BR,2020-12-08 18:46:21,-22.97,-42.03,78.8,83,75,8.05
50,Angul,IN,2020-12-08 18:46:21,20.85,85.1,65.53,54,50,3.0
51,Vaini,TO,2020-12-08 18:46:21,-21.2,-175.2,78.8,88,75,9.17
52,The Valley,AI,2020-12-08 18:42:24,18.22,-63.06,82.99,78,20,13.87
53,Hermanus,ZA,2020-12-08 18:43:30,-34.42,19.23,66.0,89,69,1.99
54,Lavrentiya,RU,2020-12-08 18:46:21,65.58,-171.0,10.76,89,0,8.57
55,Thinadhoo,MV,2020-12-08 18:46:22,0.53,72.93,81.59,72,98,7.7
56,Raga,SS,2020-12-08 18:46:22,8.46,25.68,77.79,22,0,4.0
57,Mount Isa,AU,2020-12-08 18:46:22,-20.73,139.5,82.4,14,40,10.29
58,Bordighera,IT,2020-12-08 18:46:22,43.78,7.66,46.4,75,75,6.93
59,Bosaso,SO,2020-12-08 18:46:22,11.28,49.18,77.72,65,0,3.22
60,Loudeac,FR,2020-12-08 18:46:22,48.18,-2.75,41.0,80,60,8.05
61,Marsa Matruh,EG,2020-12-08 18:46:22,31.35,27.25,60.8,41,0,6.93
62,Cap Malheureux,MU,2020-12-08 18:46:22,-19.98,57.61,75.99,81,100,5.99
63,Rio Grande,BR,2020-12-08 18:46:22,-32.03,-52.1,75.2,73,75,16.11
64,Saint George,US,2020-12-08 18:46:00,37.1,-113.58,42.8,26,1,4.7
65,Lebu,CL,2020-12-08 18:46:22,-37.62,-73.65,61.16,66,2,13.2
66,Barrow,US,2020-12-08 18:46:03,71.29,-156.79,-0.4,70,90,19.46
67,Bengkulu,ID,2020-12-08 18:46:23,-3.8,102.27,75.11,92,100,7.27
68,Kaitangata,NZ,2020-12-08 18:46:23,-46.28,169.85,53.01,76,100,3.0
69,Ruidoso,US,2020-12-08 18:46:23,33.33,-105.67,55.4,13,1,9.17
70,La Ronge,CA,2020-12-08 18:46:23,55.1,-105.28,37.4,59,100,4.7
71,Kodiak,US,2020-12-08 18:46:23,57.79,-152.41,28.4,68,1,3.36
72,Ilulissat,GL,2020-12-08 18:46:23,69.22,-51.1,24.8,45,75,6.93
73,Yamada,JP,2020-12-08 18:46:23,39.47,141.95,34.74,84,2,3.78
74,Meulaboh,ID,2020-12-08 18:43:15,4.14,96.13,77.25,87,100,4.92
75,Hilo,US,2020-12-08 18:46:23,19.73,-155.09,71.6,83,90,3.36
76,Upernavik,GL,2020-12-08 18:46:23,72.79,-56.15,23.81,96,100,10.07
77,Port Elizabeth,ZA,2020-12-08 18:44:14,-33.92,25.57,66.2,88,0,13.87
78,Baykit,RU,2020-12-08 18:46:24,61.67,96.37,-11.63,85,100,3.71
79,East London,ZA,2020-12-08 18:46:24,-33.02,27.91,71.6,83,0,11.41
80,Haicheng,CN,2020-12-08 18:46:24,40.85,122.75,26.56,87,71,8.81
81,Hay River,CA,2020-12-08 18:46:24,60.82,-115.8,10.4,92,20,3.36
82,Longyearbyen,SJ,2020-12-08 18:45:30,78.22,15.64,24.8,62,40,13.87
83,Kosonsoy,UZ,2020-12-08 18:45:03,41.26,71.55,33.8,86,90,4.7
84,Prince Albert,CA,2020-12-08 18:45:03,53.2,-105.77,35.6,80,90,5.82
85,Yellowknife,CA,2020-12-08 18:46:24,62.46,-114.35,0.0,77,20,4.7
86,Lata,PT,2020-12-08 18:46:24,40.16,-8.33,51.8,76,40,1.12
87,Huarmey,PE,2020-12-08 18:46:24,-10.07,-78.15,73.44,67,51,12.12
88,Martapura,ID,2020-12-08 18:46:24,-3.42,114.85,75.2,100,90,4.7
89,Makakilo City,US,2020-12-08 18:43:23,21.35,-158.09,78.8,73,40,3.36
90,Bredasdorp,ZA,2020-12-08 18:46:25,-34.53,20.04,66.2,82,4,14.99
91,Cockburn Town,TC,2020-12-08 18:46:25,21.46,-71.14,82.4,69,40,9.17
92,Saint-Paul,RE,2020-12-08 18:46:25,-21.01,55.27,75.2,78,75,16.11
93,Tsabong,BW,2020-12-08 18:46:25,-26.02,22.4,73.8,60,0,21.25
94,Acarau,BR,2020-12-08 18:46:25,-2.89,-40.12,84.47,62,99,19.8
95,Shimoda,JP,2020-12-08 18:46:25,34.67,138.95,46.0,76,100,3.0
96,Ancud,CL,2020-12-08 18:46:25,-41.87,-73.82,64.99,77,75,10.29
97,Tevaitoa,PF,2020-12-08 18:46:25,-16.78,-151.5,79.95,76,100,19.37
98,Avarua,CK,2020-12-08 18:46:25,-21.21,-159.78,80.6,74,32,6.93
99,Esperance,AU,2020-12-08 18:46:25,-33.87,121.9,62.6,63,0,11.41
100,Bubaque,GW,2020-12-08 18:46:26,11.28,-15.83,82.35,71,7,12.01
101,Praia,CV,2020-12-08 18:45:14,14.92,-23.51,77.0,61,75,19.46
102,North Bend,US,2020-12-08 18:44:07,43.41,-124.22,55.99,93,75,11.41
103,Pisco,PE,2020-12-08 18:46:26,-13.7,-76.22,71.6,73,0,8.05
104,Caxito,AO,2020-12-08 18:46:26,-8.58,13.66,78.8,78,40,8.05
105,Alofi,NU,2020-12-08 18:46:26,-19.06,-169.92,78.8,88,1,6.93
106,Promyshlennovskiy,RU,2020-12-08 18:46:26,55.48,86.2,6.8,84,90,8.95
107,High Rock,BS,2020-12-08 18:46:26,26.62,-78.28,68.0,56,20,10.29
108,Mangan,IN,2020-12-08 18:46:26,27.52,88.53,59.23,36,53,2.55
109,Nuzvid,IN,2020-12-08 18:43:14,16.78,80.85,66.94,76,0,2.89
110,Yeppoon,AU,2020-12-08 18:46:26,-23.13,150.73,73.4,88,100,6.93
111,Saldanha,ZA,2020-12-08 18:45:44,-33.01,17.94,66.2,82,11,9.17
112,Zhuzhou,CN,2020-12-08 18:46:26,27.83,113.15,46.4,93,75,4.47
113,Lakes Entrance,AU,2020-12-08 18:46:27,-37.88,147.98,48.99,92,0,6.58
114,Mahebourg,MU,2020-12-08 18:43:01,-20.41,57.7,77.0,88,75,13.87
115,Constitucion,CL,2020-12-08 18:46:27,-35.33,-72.42,65.91,57,0,20.92
116,Rovaniemi,FI,2020-12-08 18:46:27,66.5,25.72,24.8,92,90,9.17
117,Zaykovo,RU,2020-12-08 18:46:27,57.56,62.76,16.93,97,1,4.65
118,Vila Franca Do Campo,PT,2020-12-08 18:46:27,37.72,-25.43,60.8,63,75,9.17
119,Palaikastron,GR,2020-12-08 18:46:27,35.2,26.25,55.99,71,0,1.01
120,General Pico,AR,2020-12-08 18:46:27,-35.66,-63.76,101.21,15,0,7.49
121,Gayeri,BF,2020-12-08 18:46:27,12.65,0.49,83.61,16,0,7.87
122,Alekseyevsk,RU,2020-12-08 18:46:27,57.84,108.35,10.22,93,100,8.34
123,Kijang,KR,2020-12-08 18:46:27,35.24,129.21,30.2,63,0,5.82
124,Aklavik,CA,2020-12-08 18:46:28,68.22,-135.01,3.2,84,90,3.36
125,Adrar,MR,2020-12-08 18:46:28,20.5,-10.07,66.2,26,24,9.98
126,Ljungby,SE,2020-12-08 18:46:28,56.83,13.94,36.0,100,100,5.82
127,Qaanaaq,GL,2020-12-08 18:46:28,77.48,-69.36,-4.9,79,0,4.63
128,Ust-Kan,RU,2020-12-08 18:46:28,50.93,84.76,12.47,89,100,8.3
129,Portland,US,2020-12-08 18:42:21,45.52,-122.68,46.99,81,75,5.82
130,Katsuura,JP,2020-12-08 18:46:28,35.13,140.3,51.01,66,75,16.11
131,Muroto,JP,2020-12-08 18:46:28,33.28,134.15,54.91,63,98,9.44
132,Rio Gallegos,AR,2020-12-08 18:46:28,-51.62,-69.22,62.6,63,75,6.93
133,Olafsvik,IS,2020-12-08 18:46:28,64.89,-23.71,34.29,93,100,11.27
134,Hortobagy,HU,2020-12-08 18:46:28,47.58,21.15,35.6,93,1,8.05
135,Cururupu,BR,2020-12-08 18:46:29,-1.83,-44.87,81.99,77,100,6.49
136,Matara,LK,2020-12-08 18:46:29,5.95,80.54,77.02,87,99,7.76
137,Murgab,TM,2020-12-08 18:46:29,37.5,61.97,33.8,59,0,6.93
138,Cessnock,AU,2020-12-08 18:46:29,-32.83,151.35,53.01,94,51,1.7
139,Provideniya,RU,2020-12-08 18:46:29,64.38,-173.3,13.59,87,0,7.47
140,Kahului,US,2020-12-08 18:46:29,20.89,-156.47,77.0,69,20,19.46
141,Yulara,AU,2020-12-08 18:46:29,-25.24,130.99,77.0,17,100,10.29
142,San Quintin,MX,2020-12-08 18:46:29,30.48,-115.95,68.95,34,97,5.91
143,Taltal,CL,2020-12-08 18:46:29,-25.4,-70.48,67.62,60,23,8.32
144,Kalmunai,LK,2020-12-08 18:46:29,7.42,81.82,78.17,83,1,4.43
145,Stromness,GB,2020-12-08 18:46:29,58.97,-3.3,44.6,81,40,23.04
146,Iturama,BR,2020-12-08 18:46:29,-19.73,-50.2,85.68,53,99,4.43
147,Nikolskoye,RU,2020-12-08 18:46:30,59.7,30.79,23.0,67,0,6.71
148,El Fuerte,MX,2020-12-08 18:46:30,26.42,-108.62,85.42,15,19,1.7
149,Vallenar,CL,2020-12-08 18:46:30,-28.57,-70.76,83.52,29,0,9.89
150,Presidencia Roque Saenz Pena,AR,2020-12-08 18:46:30,-26.79,-60.44,93.99,33,0,3.0
151,Biltine,TD,2020-12-08 18:46:30,14.53,20.92,80.17,17,0,9.44
152,Comodoro Rivadavia,AR,2020-12-08 18:42:24,-45.87,-67.5,77.0,29,75,25.28
153,Nouadhibou,MR,2020-12-08 18:46:30,20.93,-17.03,75.2,36,84,12.75
154,Rochegda,RU,2020-12-08 18:46:30,62.8,43.25,17.42,95,100,4.7
155,Grindavik,IS,2020-12-08 18:46:30,63.84,-22.43,33.8,100,90,8.05
156,Rabo De Peixe,PT,2020-12-08 18:46:31,37.8,-25.58,60.8,63,75,9.17
157,Eenhana,NA,2020-12-08 18:46:31,-17.47,16.33,78.91,24,21,2.57
158,Upington,ZA,2020-12-08 18:46:31,-28.45,21.26,73.4,73,20,6.93
159,Lamu,KE,2020-12-08 18:46:31,-2.27,40.9,82.4,78,20,3.36
160,Buraydah,SA,2020-12-08 18:46:31,26.33,43.98,60.8,82,0,4.7
161,Nishihara,JP,2020-12-08 18:46:31,26.18,127.76,66.2,100,90,14.99
162,Ahipara,NZ,2020-12-08 18:46:31,-35.17,173.17,67.66,88,17,10.18
163,Yuancheng,CN,2020-12-08 18:46:31,36.65,107.79,19.35,94,74,5.37
164,Mount Gambier,AU,2020-12-08 18:46:31,-37.83,140.77,53.6,81,90,5.82
165,Micheweni,TZ,2020-12-08 18:46:31,-4.97,39.83,80.47,76,0,7.87
166,Imeni Poliny Osipenko,RU,2020-12-08 18:46:31,52.42,136.49,2.77,88,100,6.62
167,Tautira,PF,2020-12-08 18:46:32,-17.73,-149.15,73.4,88,75,4.7
168,Khuzhir,RU,2020-12-08 18:46:32,53.19,107.34,21.29,85,85,13.4
169,Bambous Virieux,MU,2020-12-08 18:46:32,-20.34,57.76,77.0,88,75,13.87
170,Maibong,IN,2020-12-08 18:46:32,25.3,93.17,57.94,89,8,0.74
171,Porto Walter,BR,2020-12-08 18:46:32,-8.27,-72.74,82.6,74,96,4.21
172,Sa Kaeo,TH,2020-12-08 18:46:32,13.75,102.33,69.57,74,0,6.6
173,Simpang,ID,2020-12-08 18:46:32,-1.27,104.08,77.16,92,100,5.68
174,Klaksvik,FO,2020-12-08 18:46:32,62.23,-6.59,41.0,100,50,6.93
175,Muros,ES,2020-12-08 18:46:32,42.78,-9.06,45.0,91,44,1.99
176,Nicoya,CR,2020-12-08 18:46:32,10.15,-85.45,89.6,49,0,20.8
177,Akyab,MM,2020-12-08 18:46:32,20.15,92.9,68.43,72,0,8.21
178,Sambava,MG,2020-12-08 18:42:06,-14.27,50.17,76.66,84,100,4.43
179,Bethel,US,2020-12-08 18:46:33,41.37,-73.41,28.99,71,16,1.01
180,Kavaratti,IN,2020-12-08 18:46:33,10.57,72.64,82.85,80,0,12.33
181,Sarai Naurang,PK,2020-12-08 18:46:33,32.83,70.78,58.5,67,20,1.41
182,Lunino,RU,2020-12-08 18:46:33,53.59,45.23,19.0,40,0,5.84
183,Vestmannaeyjar,IS,2020-12-08 18:46:33,63.44,-20.27,39.2,86,90,24.16
184,Belmonte,BR,2020-12-08 18:46:33,-15.86,-38.88,86.0,48,20,18.34
185,Taksimo,RU,2020-12-08 18:46:33,56.34,114.88,-3.71,86,54,0.74
186,Atar,MR,2020-12-08 18:46:33,20.52,-13.05,68.54,24,3,11.01
187,Hasaki,JP,2020-12-08 18:46:33,35.73,140.83,46.4,81,75,9.17
188,Antigonish,CA,2020-12-08 18:45:02,45.62,-62.0,37.99,89,100,5.01
189,Chokurdakh,RU,2020-12-08 18:46:33,70.63,147.92,-18.2,88,96,10.11
190,Harper,LR,2020-12-08 18:46:34,4.38,-7.72,79.5,81,46,4.97
191,Sinnamary,GF,2020-12-08 18:46:34,5.38,-52.95,83.26,70,68,8.61
192,Miyako,JP,2020-12-08 18:41:48,39.64,141.95,34.59,82,3,3.98
193,Nanakuli,US,2020-12-08 18:46:34,21.39,-158.15,78.8,73,40,3.36
194,Merrill,US,2020-12-08 18:45:32,45.18,-89.68,28.4,92,90,12.75
195,Geraldton,AU,2020-12-08 18:46:34,-28.77,114.6,68.0,88,90,8.05
196,Naestved,DK,2020-12-08 18:46:34,55.23,11.76,41.0,100,94,6.93
197,Piedade,BR,2020-12-08 18:46:34,-23.71,-47.43,74.12,84,30,7.09
198,Leningradskiy,RU,2020-12-08 18:46:34,69.38,178.42,3.65,87,22,6.06
199,Saskylakh,RU,2020-12-08 18:46:34,71.92,114.08,-15.95,87,100,1.99
200,Saint-Philippe,RE,2020-12-08 18:46:34,-21.36,55.77,75.2,78,90,21.92
201,Omsukchan,RU,2020-12-08 18:46:34,62.53,155.8,-4.83,89,100,1.16
202,Talnakh,RU,2020-12-08 18:46:35,69.49,88.4,-22.0,74,1,17.9
203,Tasiilaq,GL,2020-12-08 18:46:35,65.61,-37.64,17.6,67,20,6.93
204,Dongning,CN,2020-12-08 18:46:35,44.06,131.12,9.95,86,0,3.04
205,College,US,2020-12-08 18:46:35,64.86,-147.8,1.99,84,100,1.92
206,Okhotsk,RU,2020-12-08 18:46:35,59.38,143.3,-10.08,84,97,16.22
207,Xining,CN,2020-12-08 18:46:35,36.62,101.77,20.32,86,100,1.86
208,Hobyo,SO,2020-12-08 18:46:35,5.35,48.53,79.21,75,0,18.01
209,Chuy,UY,2020-12-08 18:46:35,-33.7,-53.46,71.38,68,0,11.16
210,Isangel,VU,2020-12-08 18:46:35,-19.55,169.27,78.69,84,28,9.48
211,Westport,US,2020-12-08 18:43:57,41.14,-73.36,33.8,55,90,17.22
212,Hammond,US,2020-12-08 18:46:35,41.58,-87.5,36.0,69,90,14.99
213,Sarankhola,BD,2020-12-08 18:46:36,22.31,89.79,65.3,69,100,2.8
214,Nata,PA,2020-12-08 18:43:47,8.33,-80.52,78.01,69,71,12.41
215,Acajutla,SV,2020-12-08 18:42:20,13.59,-89.83,78.8,50,20,10.29
216,Bay Roberts,CA,2020-12-08 18:46:36,47.6,-53.26,42.01,80,90,4.36
217,Tsumeb,NA,2020-12-08 18:46:36,-19.23,17.72,78.94,44,0,5.21
218,Itoman,JP,2020-12-08 18:46:36,26.12,127.67,66.2,93,75,18.34
219,Warwick,US,2020-12-08 18:46:36,41.7,-71.42,33.01,78,75,16.11
220,Oksfjord,NO,2020-12-08 18:46:36,70.24,22.35,33.8,86,20,3.36
221,Conde,BR,2020-12-08 18:46:36,-7.26,-34.91,84.2,62,40,14.99
222,Husavik,IS,2020-12-08 18:46:36,66.04,-17.34,30.2,80,0,2.24
223,Balkhash,KZ,2020-12-08 18:46:36,46.84,74.98,10.11,89,0,2.44
224,Flinders,AU,2020-12-08 18:46:37,-34.58,150.86,57.0,77,4,1.99
225,Umm Lajj,SA,2020-12-08 18:46:37,25.02,37.27,76.17,42,0,7.09
226,Narsaq,GL,2020-12-08 18:46:37,60.92,-46.05,32.0,79,20,21.92
227,Chateauroux,FR,2020-12-08 18:46:37,46.82,1.7,37.4,86,0,8.05
228,Clyde River,CA,2020-12-08 18:46:37,70.47,-68.59,8.6,84,90,14.99
229,Sao Filipe,CV,2020-12-08 18:46:37,14.9,-24.5,75.31,73,90,14.94
230,Kucevo,RS,2020-12-08 18:46:37,44.48,21.67,39.99,77,23,1.99
231,Iqaluit,CA,2020-12-08 18:46:37,63.75,-68.51,23.0,73,75,10.29
232,Plettenberg Bay,ZA,2020-12-08 18:46:37,-34.05,23.37,67.1,85,100,8.05
233,Tazovskiy,RU,2020-12-08 18:46:37,67.47,78.7,-13.09,90,79,3.38
234,Litovko,RU,2020-12-08 18:46:37,49.24,135.17,12.0,85,78,10.13
235,Teya,RU,2020-12-08 18:46:37,60.38,92.63,-16.82,84,100,4.63
236,Moramanga,MG,2020-12-08 18:46:38,-18.93,48.2,63.09,93,100,7.05
237,Tuatapere,NZ,2020-12-08 18:46:38,-46.13,167.68,54.0,75,87,4.0
238,Petauke,ZM,2020-12-08 18:46:38,-14.24,31.33,66.2,94,100,8.1
239,Nanortalik,GL,2020-12-08 18:46:38,60.14,-45.24,30.38,84,85,5.03
240,Ocampo,MX,2020-12-08 18:46:38,21.65,-101.5,63.52,41,1,5.39
241,Fort Nelson,CA,2020-12-08 18:45:03,58.81,-122.7,19.4,79,75,4.7
